bairro,renda_media_responsavel_2022,ranking_renda,fonte,link
Guararapes,14775.21,1,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Henrique Jorge,2245.68,59,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Itaoca,2186.75,63,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Itaperi,2989.39,43,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Jacarecanga,4012.54,28,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Jangurussu,1691.16,92,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Jardim América,3583.6,31,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Jardim Cearense,2973.13,44,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Jardim das Oliveiras,1806.71,86,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Jardim Guanabara,1914.5,81,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Jardim Iracema,1632.38,98,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
João XXIII,1918.43,80,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Joaquim Távora,4989.02,19,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Jóquei Clube,3059.4,42,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
José Bonifácio,4645.42,23,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
José de Alencar,4854.98,20,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Lagoa Redonda,2147.56,70,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Manoel Sátiro,1770.9,89,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Manuel Dias Branco,4113.55,27,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Maraponga,3550.24,32,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Meireles,12148.1,4,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Messejana,2854.13,47,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Mondubim,2377.15,57,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Monte Castelo,2800.77,49,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Montese,2770.84,50,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Moura Brasil,1535.84,107,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Mucuripe,8100.2,8,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Novo Mondubim,1919.44,79,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Olavo Oliveira,1580.91,103,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Padre Andrade,2177.08,64,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Panamericano,2063.16,73,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Papicu,6387.14,14,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parangaba,2620.58,54,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parque Araxá,3080.68,41,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parque Dois Irmãos,2229.66,61,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parque Iracema,8211.16,7,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parque Manibura,5186.83,18,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parque Presidente Vargas,1381.01,117,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parque Santa Maria,1760.55,90,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parque Santa Rosa,1631.19,99,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parque São José,1513.25,108,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parquelândia,4206.72,25,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Parreão,4676.25,22,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Passaré,2807.27,48,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Paupina,1859.75,84,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Pedras,1580.95,102,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Pici,1861.75,83,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Pirambu,1405.69,114,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Planalto Ayrton Senna,1565.45,105,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Praia de Iracema,6541.06,13,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Praia do Futuro I,3488.82,33,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Praia do Futuro II,1945.49,78,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Prefeito José Walter,2003.26,75,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Presidente Kennedy,3381.93,37,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
